# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 14 Manufacturer: samsung Model: SM-M346B
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Fix,FLP,12.9356424000,77.5414964000,798.0999755859375,0.16984318,25.871,74.88673,1726560833023,1.5,45.0,682070718000000,1.3393159,0,,,
Raw,1726560957000,129334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.790733337402344,0.0,0,194,0.0,15,202574864278011,42,20.299999237060547,74.45166778564453,0.42718610167503357,16,0.0,0.3020632863044739,1575420030,,,,0,,4,1.2999999523162842,15.300000190734863,0.0,0.0,0.0,0.0,C,813257389895662
Raw,1726560957000,129334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.790733337402344,0.0,0,12,0.0,3072,6646225,60,17.200000762939453,-401.32855224609375,0.6718624234199524,16,0.0,0.4750739336013794,1575420030,,,,0,,6,1.2999999523162842,12.199999809265137,0.0,0.0,0.0,0.0,C,813257389895662
Raw,1726560958000,130334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.945561408996582,0.0,0,10,0.0,15,202575928025906,14,34.70000076293945,182.78485107421875,0.11336711049079895,25,-7452.874887586571,0.08016188442707062,1575420030,,,,0,,1,1.2999999523162842,29.700000762939453,0.0,0.0,0.0,0.0,C,813258310906542
Raw,1726560958000,130334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.945561408996582,0.0,0,2,0.0,15,202575921907369,11,39.599998474121094,-271.96405029296875,0.08353102952241898,25,-554436.3111677663,0.05906479060649872,1575420030,,,,0,,1,1.2999999523162842,34.599998474121094,0.0,0.0,0.0,0.0,C,813258310906542
Raw,1726560958000,130334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.945561408996582,0.0,0,31,0.0,15,202575932924153,12,37.099998474121094,28.898033142089844,0.09704875946044922,25,-78688.33284277222,0.06862317770719528,1575420030,,,,0,,1,1.2999999523162842,32.099998474121094,0.0,0.0,0.0,0.0,C,813258310906542
Raw,1726560958000,130334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.945561408996582,0.0,0,26,0.0,15,202575928178098,13,36.599998474121094,-413.0269775390625,0.10014420747756958,25,-167996.2884636186,0.07081197202205658,1575420030,,,,0,,1,1.2999999523162842,31.600000381469727,0.0,0.0,0.0,0.0,C,813258310906542
Raw,1726560958000,130334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.945561408996582,0.0,0,28,0.0,15,202575928492542,13,36.099998474121094,446.3660888671875,0.1033901646733284,25,-1055340.4835689524,0.07310718297958374,1575420030,,,,0,,1,1.2999999523162842,31.100000381469727,0.0,0.0,0.0,0.0,C,813258310906542
Raw,1726560958000,130334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.945561408996582,0.0,0,32,0.0,15,202575921436933,20,29.200000762939453,170.17909240722656,0.1707533597946167,16,0.0,0.12073969841003418,1575420030,,,,0,,1,1.2999999523162842,24.200000762939453,0.0,0.0,0.0,0.0,C,813258310906542
Raw,1726560958000,130334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.945561408996582,0.0,0,21,0.0,15,202575924494320,25,26.100000381469727,-80.6617202758789,0.22461310029029846,16,0.0,0.1588239222764969,1575420030,,,,0,,1,1.2999999523162842,21.100000381469727,0.0,0.0,0.0,0.0,C,813258310906542
Raw,1726560958000,130334722585,18,0.0,-1410596045665277440,0.0,10.014025688171387,9.945561408996582,0.0,0,25,0.0,15,202575918371989,42,20.200000762939453,364.0750427246094,0.43282550573349,16,0.0,0.3060509264469147,1575420030,,,,0,,1,1.2999999523162842,15.199999809265137,0.0,0.0,0.0,0.0,C,813258310906542
