LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,MockLocation,RelativeLatitude,RelativeLongitude,RelativeAltitude,RelativeBearing
12.9350666667,77.5424566667,793.1,0.0,11.7,0.0,1726564130387,0,0.0,0.0,0.0,0.0
12.9350667,77.5424567,793.1,0.0,11.7,0.0,1726564131033,0,3.3300000978897515e-08,3.3299997426183836e-08,0.0,0.0
12.9351766667,77.5425516667,792.8000000000001,0.0,8.4,0.0,1726564131387,0,0.00010996670000018582,9.49667000043064e-05,-0.2999999999999545,0.0
12.9351633,77.5425381,792.8000000000001,0.5638597,10.05,2.035e-13,1726564132033,0,-1.3366700001071763e-05,-1.356670000518534e-05,0.0,2.035e-13
12.93518,77.5425783333,793.2,0.0,6.5,0.0,1726564133000,0,1.670000000153493e-05,4.0233299998249095e-05,0.39999999999997726,-2.035e-13
12.9351789,77.5425723,793.2,0.066060744,8.866,0.0,1726564133645,0,-1.1000000004202093e-06,-6.033299996488495e-06,0.0,0.0
12.9351783333,77.5425866667,793.2,0.0,6.1,0.0,1726564134000,0,-5.667000007036904e-07,1.4366700000323362e-05,0.0,0.0
12.9351785,77.5425838,793.2,0.007078366,8.175,0.0,1726564134645,0,1.6669999958196513e-07,-2.866700000936362e-06,0.0,0.0
12.9351783333,77.5426016667,793.1,0.0,5.8,0.0,1726564135000,0,-1.6669999958196513e-07,1.7866699991486712e-05,-0.10000000000002274,0.0
12.9351784,77.5425962,793.1,0.001372687,7.7,0.0,1726564135645,0,6.670000018971223e-08,-5.466699988687651e-06,0.0,0.0
12.9351633333,77.5425766667,793.1,0.0,5.5,0.0,1726564136000,0,-1.5066699999621846e-05,-1.9533300005036836e-05,0.0,0.0
12.9351674,77.5425826,793.1,0.13245803,6.46,180.0,1726564136645,0,4.066699998972467e-06,5.933300002425312e-06,0.0,180.0
12.9351433333,77.5425516667,793.2,0.0,5.0,0.0,1726564137000,0,-2.406669999999167e-05,-3.09332999961498e-05,0.10000000000002274,-180.0
12.9351491,77.5425601,793.2,0.21354787,5.78,180.0,1726564137645,0,5.7667000010752645e-06,8.43329999611342e-06,0.0,180.0
12.9351233333,77.5425383333,793.2,2.16801,4.8,209.64,1726564138000,0,-2.576670000031811e-05,-2.1766700001535355e-05,0.0,29.639999999999986
12.9351281,77.5425444,793.2,0.9640372,5.616,192.23265,1726564138645,0,4.766700000047308e-06,6.0666999956993095e-06,0.0,-17.40734999999998
12.935105,77.542525,793.2,2.078963,4.7,204.08,1726564139000,0,-2.309999999994261e-05,-1.9399999999336615e-05,0.0,11.847350000000006
12.9351083,77.5425297,793.2,1.3320343,5.316,197.35011,1726564139645,0,3.299999999484271e-06,4.700000005186666e-06,0.0,-6.729890000000012
12.9350833333,77.542505,793.2,2.362575,4.5,204.45,1726564140000,0,-2.4966699999851016e-05,-2.4699999997324085e-05,0.0,7.099889999999988
12.9350862,77.5425104,793.2,1.7814022,5.05,201.83946,1726564140645,0,2.866700000936362e-06,5.3999999920506525e-06,0.0,-2.610539999999986
12.93506,77.5424883333,793.1,2.6621432,4.4,201.94,1726564141000,0,-2.6200000000642376e-05,-2.2066699997935757e-05,-0.10000000000002274,0.10053999999999519
12.9350625,77.5424925,793.1,2.1024106,4.816,202.35756,1726564141645,0,2.500000000793534e-06,4.1666999948120065e-06,0.0,0.4175600000000088
12.935035,77.5424716667,793.1,2.4583132,4.3,204.7,1726564142000,0,-2.7500000001623448e-05,-2.083329999891248e-05,0.0,2.342439999999982
12.9350375,77.5424752,793.1,2.2473419,4.616,203.5855,1726564142645,0,2.500000000793534e-06,3.533300002800388e-06,0.0,-1.1144999999999925
12.9350066667,77.5424583333,793.1,2.572067,4.2,205.27,1726564143000,0,-3.083330000031026e-05,-1.686669999401147e-05,0.0,1.684500000000014
12.9350098,77.5424605,793.1,2.4095616,4.483,204.41756,1726564143645,0,3.133299999902306e-06,2.166699999861521e-06,0.0,-0.8524400000000014
12.9349766667,77.5424333333,793.0,2.5504487,4.1,206.19,1726564144000,0,-3.3133299998766574e-05,-2.7166700007796862e-05,-0.10000000000002274,1.772439999999989
