LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,MockLocation,RelativeLatitude,RelativeLongitude,RelativeAltitude,RelativeBearing
12.9368168,77.5432136,795.699951171875,0.51018906,2.033,327.35443,1727326410008,0,0.0,0.0,0.0,0.0
12.9368266667,77.5432083333,776.1,0.6711978,2.3,321.15,1727326411000,0,9.866699999250272e-06,-5.266700000561286e-06,-19.599951171874977,-6.204430000000002
12.9368258,77.5432087,795.699951171875,0.6667603,2.133,321.1358,1727326411008,0,-8.66700000656806e-07,3.666999930374004e-07,19.599951171874977,-0.0141999999999598
12.93683,77.543195,777.3000000000001,0.82973224,2.3,326.26,1727326412000,0,4.2000000011199745e-06,-1.3699999996674705e-05,-18.399951171874932,5.124199999999973
12.9368301,77.5431965,795.699951171875,0.8160073,2.216,325.43835,1727326412008,0,9.99999993922529e-08,1.499999996212864e-06,18.399951171874932,-0.8216499999999769
12.936835,77.5431783333,778.2,0.9295883,2.2,311.65,1727326413000,0,4.9000000004184585e-06,-1.8166699987887114e-05,-17.499951171874955,-13.788350000000037
12.9368352,77.5431804,795.699951171875,0.92416763,2.233,311.48083,1727326413008,0,2.0000000056086265e-07,2.066699991587484e-06,17.499951171874955,-0.16916999999995141
12.9368416667,77.5431583333,778.6,1.0315033,2.2,299.63,1727326414000,0,6.466699998597392e-06,-2.2066699997935757e-05,-17.099951171874977,-11.85083000000003
12.9368415,77.5431607,796.8999633789062,1.0244359,2.233,299.5417,1727326414008,0,-1.6669999958196513e-07,2.3667000021987405e-06,18.299963378906227,-0.08830000000000382
12.9368416667,77.5431316667,778.6,1.1102558,2.2,269.67,1727326415000,0,1.6669999958196513e-07,-2.9033299995262496e-05,-18.299963378906227,-29.871699999999976
12.9368423,77.5431348,796.8999633789062,1.1046404,2.233,269.57416,1727326415008,0,6.333000008851286e-07,3.133299998125949e-06,18.299963378906227,-0.0958400000000097
12.9368383333,77.543115,778.7,1.1560661,2.1,251.4,1727326416000,0,-3.966699999580214e-06,-1.9800000004011054e-05,-18.199963378906205,-18.17416
12.9368389,77.5431164,796.8999633789062,1.1567578,2.216,251.64018,1727326416007,0,5.666999989273336e-07,1.4000000021496817e-06,18.199963378906205,0.24017999999998096
12.9368316667,77.543105,778.6,1.1195208,2.1,224.23,1727326417000,0,-7.233299999853671e-06,-1.1400000005323818e-05,-18.299963378906227,-27.410179999999997
12.9368323,77.5431052,796.8999633789062,1.1153795,2.183,225.26234,1727326417007,0,6.333000008851286e-07,2.0000000233721948e-07,18.299963378906227,1.032340000000005
12.9368216667,77.5430983333,778.4,1.2070236,2.1,215.62,1727326418000,0,-1.0633300000506551e-05,-6.8667000050481874e-06,-18.499963378906273,-9.64233999999999
12.9368222,77.5430982,796.8999633789062,1.2018486,2.15,215.3581,1727326418008,0,5.332999997165189e-07,-1.3329999148936622e-07,18.499963378906273,-0.26189999999999714
12.9368066667,77.5430866667,778.2,1.3671023,2.1,218.6,1727326419000,0,-1.5533299999148653e-05,-1.1533299996813184e-05,-18.699963378906205,3.241899999999987
12.9368077,77.5430875,796.5,1.3628587,2.133,217.94691,1727326419008,0,1.0332999984541402e-06,8.332999925642071e-07,18.299999999999955,-0.6530899999999917
12.9367883333,77.5430733333,778.1,1.4952681,2.1,219.4,1727326420000,0,-1.9366699998357717e-05,-1.4166699997986143e-05,-18.399999999999977,1.453090000000003
12.9367898,77.5430743,796.5,1.4925936,2.116,218.979,1727326420008,0,1.4666999987866802e-06,9.667000000490589e-07,18.399999999999977,-0.42099999999999227
12.936765,77.5430633333,777.9,1.5858592,2.2,206.68,1727326421000,0,-2.480000000026905e-05,-1.0966700003223195e-05,-18.600000000000023,-12.299000000000007
12.9367672,77.5430637,796.5,1.5758411,2.116,206.46568,1727326421008,0,2.2000000008404186e-06,3.6670000724825513e-07,18.600000000000023,-0.21432000000001494
12.93674,77.54305,777.7,1.7052747,2.3,215.67,1727326422000,0,-2.7199999999893976e-05,-1.370000001088556e-05,-18.799999999999955,9.204319999999996
12.9367422,77.5430511,796.5,1.7038335,2.15,214.32463,1727326422008,0,2.1999999990640617e-06,1.1000000057492798e-06,18.799999999999955,-1.3453699999999742
12.9367166667,77.543035,778.2,1.8535147,2.4,206.41,1727326423000,0,-2.5533299998770076e-05,-1.609999999629963e-05,-18.299999999999955,-7.914630000000017
12.9367185,77.5430361,796.5,1.8401492,2.2,206.53996,1727326423008,0,1.833299998921234e-06,1.099999991538425e-06,18.299999999999955,0.12996000000001118
12.9366883333,77.5430283333,778.8000000000001,1.995578,2.3,199.34,1727326424000,0,-3.016670000022259e-05,-7.766699994249393e-06,-17.699999999999932,-7.199960000000004
12.9366905,77.5430283,797.0,1.99175,2.233,199.21092,1727326424008,0,2.166699999861521e-06,-3.3299997426183836e-08,18.199999999999932,-0.12908000000001607
12.9366533333,77.54302,779.1,2.2060995,2.2,195.04,1727326425000,0,-3.71666999985365e-05,-8.300000004624053e-06,-17.899999999999977,-4.170919999999995
12.9366562,77.5430204,797.0,2.205377,2.25,195.05226,1727326425008,0,2.866699999160005e-06,4.0000000467443897e-07,17.899999999999977,0.012259999999997717
12.9366083333,77.543015,777.7,2.4480188,2.2,190.91,1727326426000,0,-4.7866699999232765e-05,-5.400000006261507e-06,-19.299999999999955,-4.142259999999993
12.9366124,77.543015,797.0,2.4484053,2.266,190.05371,1727326426008,0,4.066699998972467e-06,0.0,19.299999999999955,-0.8562900000000013
12.9365716667,77.5430083333,776.6,2.6863353,2.1,188.32,1727326427000,0,-4.073329999876307e-05,-6.666700002710968e-06,-20.399999999999977,-1.733710000000002
12.9365745,77.5430087,797.0,2.6804185,2.25,188.0451,1727326427008,0,2.8332999999491904e-06,3.6670000724825513e-07,20.399999999999977,-0.27490000000000236
12.9365316667,77.5430016667,775.7,2.9359756,2.0,192.81,1727326428000,0,-4.283330000021124e-05,-7.033300008174592e-06,-21.299999999999955,4.7649000000000115
12.9365345,77.5430022,797.0,2.9297328,2.2,191.94208,1727326428007,0,2.8332999999491904e-06,5.333000103746599e-07,21.299999999999955,-0.867919999999998
12.9364916667,77.5429866667,775.0,3.1418645,2.0,196.05,1727326429000,0,-4.283330000021124e-05,-1.553330000092501e-05,-22.0,4.107920000000007
12.9364943,77.5429882,798.3999633789062,3.1376762,2.133,195.95206,1727326429008,0,2.6332999993883277e-06,1.533299993639048e-06,23.39996337890625,-0.09794000000002256
12.9364566667,77.5429683333,774.8000000000001,3.2885604,2.0,202.81,1727326430000,0,-3.7633299999839664e-05,-1.9866700000648052e-05,-23.599963378906182,6.8579400000000135
12.9364583,77.5429702,798.3999633789062,3.2874644,2.083,201.94093,1727326430008,0,1.6333000001367282e-06,1.8667000034611192e-06,23.599963378906182,-0.8690699999999936
12.9364166667,77.5429516667,773.9,3.4378297,2.1,201.46,1727326431000,0,-4.1633300000398776e-05,-1.8533299993350738e-05,-24.499963378906273,-0.48093000000000075
12.9364189,77.5429528,798.3999633789062,3.4326782,2.066,201.03394,1727326431008,0,2.2333000000429593e-06,1.133299988964609e-06,24.499963378906273,-0.42606000000000677
12.9363766667,77.54294,773.4,3.5335681,2.1,197.38,1727326432000,0,-4.223330000030501e-05,-1.2799999993262645e-05,-24.999963378906273,-3.6539400000000057
12.9363787,77.5429402,798.3999633789062,3.5263305,2.05,197.14978,1727326432008,0,2.0333000012584534e-06,2.0000000233721948e-07,24.999963378906273,-0.23022000000000276
12.9363416667,77.5429266667,772.4,3.6457775,2.1,198.48,1727326433000,0,-3.703329999993343e-05,-1.3533300005974525e-05,-25.999963378906273,1.330219999999997
12.9363427,77.5429273,798.3999633789062,3.6419485,2.05,197.98126,1727326433008,0,1.033300000230497e-06,6.333000044378423e-07,25.999963378906273,-0.49873999999999796
12.93631,77.5429183333,771.6,3.7271037,2.3,196.44,1727326434000,0,-3.2700000000218665e-05,-8.96670000827271e-06,-26.799963378906227,-1.541259999999994
12.9363102,77.5429181,798.3999633789062,3.7188513,2.1,196.11365,1727326434008,0,1.999999987845058e-07,-2.3329999976340332e-07,26.799963378906227,-0.3263499999999908
12.936285,77.5429083333,771.2,3.689529,2.3,200.61,1727326435000,0,-2.519999999961442e-05,-9.766699989199878e-06,-27.199963378906205,4.496350000000007
12.936284,77.5429083,798.3999633789062,3.6898534,2.15,199.8188,1727326435007,0,-9.999999992515995e-07,-3.330001163703855e-08,27.199963378906205,-0.7912000000000035
12.9362633333,77.5428966667,771.0,3.6267328,2.4,199.69,1727326436000,0,-2.0666700001115146e-05,-1.1633299990876367e-05,-27.39996337890625,-0.12880000000001246
12.9362617,77.5428967,798.3999633789062,3.6250474,2.216,199.06618,1727326436007,0,-1.6333000001367282e-06,3.3299997426183836e-08,27.39996337890625,-0.6238199999999949
12.936245,77.5428866667,770.4,3.517097,2.5,210.7,1727326437000,0,-1.6699999999758575e-05,-1.003330000060032e-05,-27.999963378906273,11.633819999999986
12.9362429,77.5428865,798.3999633789062,3.5170472,2.283,209.283,1727326437007,0,-2.099999999671809e-06,-1.6670000491103565e-07,27.999963378906273,-1.4170000000000016
12.9362333333,77.54287,769.2,3.3271644,2.4,226.06,1727326438000,0,-9.566699999297157e-06,-1.650000000097407e-05,-29.199963378906205,16.777000000000015
12.9362307,77.54287,798.3999633789062,3.3244128,2.333,224.83748,1727326438007,0,-2.6333000011646845e-06,0.0,29.199963378906205,-1.222520000000003
12.9362233333,77.5428483333,768.7,3.0929658,2.3,251.71,1727326439000,0,-7.366700000233095e-06,-2.1666699993261318e-05,-29.699963378906205,26.87252000000001
12.9362214,77.5428483,798.3999633789062,3.0939429,2.366,248.73888,1727326439007,0,-1.933299998313487e-06,-3.3299997426183836e-08,29.699963378906205,-2.9711200000000133
12.936215,77.542825,768.3000000000001,2.879871,2.3,259.74,1727326440000,0,-6.400000000184036e-06,-2.3300000009385258e-05,-30.099963378906182,11.001120000000014
12.9362145,77.5428245,798.3999633789062,2.8889518,2.366,258.32114,1727326440007,0,-5.000000005139782e-07,-4.999999987376214e-07,30.099963378906182,-1.4188599999999951
12.9362116667,77.5427983333,768.0,2.6935413,2.2,284.5,1727326441000,0,-2.8332999999491904e-06,-2.6166699996110765e-05,-30.39996337890625,26.178859999999986
12.9362114,77.5427983,798.3999633789062,2.6968114,2.35,283.42114,1727326441007,0,-2.6670000075057487e-07,-3.3299997426183836e-08,30.39996337890625,-1.0788600000000201
12.9362166667,77.54277,767.7,2.5787582,2.2,288.01,1727326442000,0,5.266700000561286e-06,-2.829999999676147e-05,-30.699963378906205,4.588860000000011
12.9362168,77.5427706,798.3999633789062,2.5862997,2.316,287.8536,1727326442007,0,1.3330000037115042e-07,5.999999928008037e-07,30.699963378906205,-0.1564000000000192
12.9362183333,77.5427416667,766.9,2.4763286,2.2,279.84,1727326443000,0,1.5332999989681184e-06,-2.8933300001199314e-05,-31.499963378906273,-8.013599999999997
