LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,MockLocation,RelativeLatitude,RelativeLongitude,RelativeAltitude,RelativeBearing
12.9342767,77.543455,805.7999877929688,0.0,1.55,307.06,1727332472003,0,0.0,0.0,0.0,0.0
12.9342766667,77.543455,786.9,0.0,1.8,307.06,1727332473000,0,-3.3299999202540675e-08,0.0,-18.899987792968773,0.0
12.9342767,77.543455,805.7999877929688,0.0,1.616,167.6,1727332473003,0,3.3299999202540675e-08,0.0,18.899987792968773,-139.46
12.9342816667,77.54346,784.6,0.22236,1.8,28.14,1727332474000,0,4.966700000608171e-06,5.000000001587068e-06,-21.199987792968727,-139.45999999999998
12.9342809,77.5434592,805.7999877929688,0.21612525,1.683,28.552568,1727332474004,0,-7.667000012645531e-07,-7.999999951380232e-07,21.199987792968727,0.41256800000000027
12.9342833333,77.5434616667,784.7,0.0,1.9,11.72,1727332475000,0,2.433300000603822e-06,2.466699996261923e-06,-21.099987792968705,-16.832568000000002
12.9342832,77.5434615,805.7999877929688,0.008770856,1.75,10.385000000000002,1727332475004,0,-1.3330000037115042e-07,-1.6669999070018093e-07,21.099987792968705,-1.334999999999999
12.9342833333,77.54346,784.7,0.0,2.0,9.05,1727332476000,0,1.3330000037115042e-07,-1.5000000104237188e-06,-21.099987792968705,-1.3350000000000009
12.9342833,77.5434602,805.7999877929688,0.00040734894,1.816,147.99,1727332476004,0,-3.3299999202540675e-08,2.0000000233721948e-07,21.099987792968705,138.94
12.9342833333,77.54346,784.7,0.0,2.0,286.93,1727332477000,0,3.3299999202540675e-08,-2.0000000233721948e-07,-21.099987792968705,138.94
12.9342833,77.5434601,805.7999877929688,5.2025716e-05,1.866,286.93,1727332477003,0,-3.3299999202540675e-08,1.000000082740371e-07,21.099987792968705,0.0
12.9342833333,77.54346,784.7,0.0,2.1,286.93,1727332478000,0,3.3299999202540675e-08,-1.000000082740371e-07,-21.099987792968705,0.0
12.9342833,77.54346,805.7999877929688,9.6421245e-05,1.933,286.93,1727332478004,0,-3.3299999202540675e-08,0.0,21.099987792968705,0.0
12.9342833333,77.54346,784.7,0.0,2.1,286.93,1727332479000,0,3.3299999202540675e-08,0.0,-21.099987792968705,0.0
12.9342833,77.54346,805.7999877929688,0.00010846249,1.983,286.93,1727332479004,0,-3.3299999202540675e-08,0.0,21.099987792968705,0.0
12.9342833333,77.54346,784.7,0.0,2.1,286.93,1727332480000,0,3.3299999202540675e-08,0.0,-21.099987792968705,0.0
12.9342833,77.54346,805.7999877929688,8.2256964e-05,2.033,226.06,1727332480004,0,-3.3299999202540675e-08,0.0,21.099987792968705,-60.870000000000005
12.9342633333,77.5434583333,784.5,0.4313372,2.1,165.19,1727332481000,0,-1.9966700000040305e-05,-1.6667000011238997e-06,-21.29998779296875,-60.870000000000005
12.9342688,77.5434589,805.7999877929688,0.119883776,2.066,155.12003,1727332481004,0,5.466699999345792e-06,5.667000095854746e-07,21.29998779296875,-10.069969999999984
12.9342616667,77.5434566667,784.3000000000001,0.0,2.1,165.19,1727332482000,0,-7.133300000461418e-06,-2.2333000089247435e-06,-21.499987792968682,10.069969999999984
12.9342635,77.5434573,805.7999877929688,0.061758775,2.083,185.54500000000002,1727332482004,0,1.8333000006975908e-06,6.333000044378423e-07,21.499987792968682,20.355000000000018
12.9342583333,77.5434516667,784.6,0.4493525,2.0,205.9,1727332483000,0,-5.1666999993926765e-06,-5.6333000060249105e-06,-21.199987792968727,20.35499999999999
12.9342593,77.5434532,805.7999877929688,0.29340422,2.083,202.98943,1727332483004,0,9.667000000490589e-07,1.5333000078499026e-06,21.199987792968727,-2.910570000000007
12.9342533333,77.54345,784.9,0.44986722,2.0,201.64,1727332484000,0,-5.966700001636127e-06,-3.1999999947629476e-06,-20.899987792968773,-1.3494300000000123
12.9342542,77.5434506,805.7999877929688,0.3938748,2.066,202.43556,1727332484004,0,8.66700000656806e-07,5.999999928008037e-07,20.899987792968773,0.7955600000000231
12.9342466667,77.5434466667,785.1,0.0,2.0,201.64,1727332485000,0,-7.533299999806786e-06,-3.933299993263972e-06,-20.699987792968727,-0.7955600000000231
12.934248,77.5434475,805.699951171875,0.24149233,2.05,189.07935,1727332485004,0,1.3333000001836126e-06,8.332999925642071e-07,20.599951171874977,-12.560649999999981
12.9342416667,77.5434466667,785.3000000000001,0.0,2.1,201.64,1727332486000,0,-6.333299999994324e-06,-8.332999925642071e-07,-20.399951171874932,12.560649999999981
12.934243,77.5434468,805.699951171875,0.15584067,2.05,183.92174,1727332486003,0,1.3333000001836126e-06,1.3329999148936622e-07,20.399951171874932,-17.718259999999987
12.9342266667,77.5434433333,785.5,0.0,2.1,201.64,1727332487000,0,-1.6333299999615747e-05,-3.4666999937371656e-06,-20.199951171875,17.718259999999987
12.9342309,77.5434443,805.699951171875,0.09066335,2.05,201.63,1727332487003,0,4.233299998546158e-06,9.667000000490589e-07,20.199951171875,-0.009999999999990905
12.934215,77.5434333333,786.5,0.5970778,2.1,201.62,1727332488000,0,-1.589999999929148e-05,-1.0966700003223195e-05,-19.199951171875,-0.009999999999990905
12.9342189,77.5434363,805.699951171875,0.30524555,2.05,203.00183,1727332488004,0,3.899999999390502e-06,2.9666999949995443e-06,19.199951171875,1.3818300000000079
12.9342016667,77.5434316667,786.6,0.64031446,2.0,195.97,1727332489000,0,-1.7233299999475094e-05,-4.633299994338813e-06,-19.099951171874977,-7.031830000000014
12.9342055,77.5434326,805.699951171875,0.44723895,2.05,199.00156,1727332489004,0,3.83329999920079e-06,9.333000008382442e-07,19.099951171874977,3.031560000000013
12.9341933333,77.543425,786.7,0.0,2.1,195.97,1727332490000,0,-1.2166699999482944e-05,-7.600000003549212e-06,-18.999951171874955,-3.031560000000013
12.9341959,77.5434269,804.699951171875,0.2725627,2.066,184.37627,1727332490003,0,2.5667000009832464e-06,1.900000000887303e-06,17.999951171874955,-11.593729999999994
12.9341833333,77.54341,787.3000000000001,0.8199525,2.1,244.37,1727332491000,0,-1.256670000060467e-05,-1.6900000005648508e-05,-17.399951171874932,59.99373
12.9341849,77.5434127,804.699951171875,0.7960998,2.083,243.24011,1727332491004,0,1.56669999995529e-06,2.700000010236181e-06,17.399951171874932,-1.1298900000000174
12.9341733333,77.5433966667,787.5,0.0,2.1,244.37,1727332492000,0,-1.1566699999576713e-05,-1.603329999966263e-05,-17.199951171875,1.1298900000000174
12.9341746,77.5433982,804.699951171875,0.028752556,2.083,244.37,1727332492004,0,1.2667000000021744e-06,1.533299993639048e-06,17.199951171875,0.0
12.93417,77.5433816667,787.9,0.0,2.1,244.37,1727332493000,0,-4.600000000465343e-06,-1.6533299998400253e-05,-16.799951171875023,0.0
12.9341707,77.5433842,804.699951171875,0.003227873,2.083,262.39,1727332493004,0,6.99999999298484e-07,2.5333000053251453e-06,16.799951171875023,18.019999999999982
12.934165,77.5433616667,788.8000000000001,1.1277564,2.1,280.41,1727332494000,0,-5.699999999109195e-06,-2.253330001167342e-05,-15.899951171874932,18.02000000000004
12.9341659,77.5433651,804.699951171875,1.0696481,2.083,280.40845,1727332494004,0,8.999999998593466e-07,3.4333000087372056e-06,15.899951171874932,-0.001550000000008822
12.9341633333,77.5433416667,789.0,1.2343038,2.1,288.07,1727332495000,0,-2.5666999992068895e-06,-2.3433300000874624e-05,-15.699951171875,7.661549999999977
12.934164,77.5433438,804.5,1.2307352,2.1,287.91635,1727332495004,0,6.667000000959433e-07,2.1333000006507064e-06,15.5,-0.15364999999997053
12.93417,77.54332,789.1,1.3743083,2.2,290.47,1727332496000,0,5.999999999062311e-06,-2.380000000812288e-05,-15.399999999999977,2.5536500000000046
12.9341694,77.5433232,804.5,1.3557372,2.116,288.85703,1727332496004,0,-5.999999999062311e-07,3.2000000089738023e-06,15.399999999999977,-1.6129700000000184
12.9341766667,77.5432983333,788.7,1.486003,2.1,286.53,1727332497000,0,7.266700000840842e-06,-2.486670000223512e-05,-15.799999999999955,-2.327030000000036
12.9341757,77.5433017,804.5,1.444297,2.116,287.12366,1727332497004,0,-9.667000000490589e-07,3.3666999996739833e-06,15.799999999999955,0.5936599999999999
12.9341833333,77.5432683333,788.5,0.0,2.2,286.53,1727332498000,0,7.633299999199039e-06,-3.336669999498554e-05,-16.0,-0.5936599999999999
12.9341818,77.5432748,804.5,0.9756296,2.133,275.25854,1727332498004,0,-1.5333000007444753e-06,6.4667000003737485e-06,16.0,-11.27145999999999
12.9341883333,77.5432366667,788.6,1.8777066,2.2,282.78,1727332499000,0,6.533300000555187e-06,-3.813330000923543e-05,-15.899999999999977,7.5214599999999905
12.9341868,77.543244,804.5,1.3530037,2.15,280.44873,1727332499004,0,-1.5332999989681184e-06,7.333300004574994e-06,15.899999999999977,-2.331269999999961
12.9341966667,77.5431983333,788.4,2.1433034,2.2,283.21,1727332500000,0,9.866699999250272e-06,-4.5666700003721417e-05,-16.100000000000023,2.7612699999999677
12.9341947,77.5432068,804.5999755859375,1.7110113,2.166,283.13464,1727332500004,0,-1.9666999993006584e-06,8.466699995324234e-06,16.199975585937523,-0.07535999999998921
12.9342033333,77.543155,787.8000000000001,2.4104443,2.1,286.22,1727332501000,0,8.633299998450639e-06,-5.1799999994273094e-05,-16.799975585937432,3.085360000000037
12.9342021,77.5431643,804.5999755859375,2.0946915,2.166,285.82874,1727332501004,0,-1.2332999990150029e-06,9.300000002099296e-06,16.799975585937432,-0.39126000000004524
12.9342133333,77.5431083333,788.5,2.714645,2.2,284.09,1727332502000,0,1.1233300000412783e-05,-5.5966700003295955e-05,-16.0999755859375,-1.738740000000007
12.9342117,77.5431181,804.5999755859375,2.37792,2.166,285.05057,1727332502004,0,-1.6333000001367282e-06,9.766700003410733e-06,16.0999755859375,0.9605700000000184
12.934225,77.5430683333,789.2,2.9704618,2.2,288.61,1727332503000,0,1.3299999999105694e-05,-4.9766700001896425e-05,-15.399975585937455,3.5594300000000203
12.934223,77.5430757,804.5999755859375,2.653147,2.183,286.851,1727332503003,0,-2.000000000279556e-06,7.366700003785809e-06,15.399975585937455,-1.7590000000000146
12.9342383333,77.543035,790.3000000000001,3.16863,2.3,284.93,1727332504000,0,1.5333300000364147e-05,-4.069999999956053e-05,-14.299975585937432,-1.9209999999999923
12.934236,77.5430393,804.5999755859375,2.8825686,2.2,285.59854,1727332504004,0,-2.333299999435212e-06,4.300000000512227e-06,14.299975585937432,0.6685400000000072
12.9342483333,77.543005,791.4,3.3328264,2.3,290.01,1727332505000,0,1.2333299999056635e-05,-3.430000001003464e-05,-13.199975585937523,4.411459999999977
