LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,MockLocation,RelativeLatitude,RelativeLongitude,RelativeAltitude,RelativeBearing
12.9373502,77.5416735,794.0,2.2332268,7.18,243.59431,1727327334003,0,0.0,0.0,0.0,0.0
12.9373566667,77.541675,768.8000000000001,1.886457,5.1,240.56,1727327335000,0,6.4667000003737485e-06,1.499999996212864e-06,-25.199999999999932,-3.034310000000005
12.9373544,77.5416722,794.0,1.8980021,6.58,240.24957,1727327335003,0,-2.266699999253774e-06,-2.8000000042993634e-06,25.199999999999932,-0.31042999999999665
12.9373579,77.5416638,794.0,1.5170101,5.84,247.81691,1727327336003,0,3.5000000000451337e-06,-8.399999998687235e-06,0.0,7.5673400000000015
12.93736,77.541665,770.3000000000001,1.4988711,4.2,248.58,1727327336000,0,2.099999999671809e-06,1.1999999998124622e-06,-23.699999999999932,0.7630900000000054
12.9373683333,77.5417133333,771.4,0.96510416,3.3,246.07,1727327337000,0,8.33330000027388e-06,4.833330000053593e-05,1.099999999999909,-2.5100000000000193
12.9373659,77.541704,794.0,0.97051895,5.416,245.95374,1727327337003,0,-2.433300000603822e-06,-9.33329999952548e-06,22.600000000000023,-0.11625999999998271
12.937365,77.5417116667,772.3000000000001,0.6603886,3.0,222.83,1727327338000,0,-8.999999998593466e-07,7.66670000018621e-06,-21.699999999999932,-23.123739999999998
12.9373646,77.5417093,794.0,0.66511005,4.716,222.82236,1727327338003,0,-3.9999999934536845e-07,-2.3667000021987405e-06,21.699999999999932,-0.007640000000009195
12.937365,77.541725,772.9,0.39530668,2.8,180.82,1727327339000,0,3.9999999934536845e-07,1.5700000005836046e-05,-21.100000000000023,-42.00236000000001
12.9373643,77.5417219,795.199951171875,0.4026748,4.066,181.49509,1727327339003,0,-6.99999999298484e-07,-3.1000000006997652e-06,22.299951171875023,0.6750900000000115
12.9373583333,77.54173,773.5,0.64082915,2.7,158.29,1727327340000,0,-5.96669999985977e-06,8.100000002286833e-06,-21.699951171875,-23.205090000000013
12.9373586,77.5417287,795.199951171875,0.6254878,3.516,158.55667,1727327340003,0,2.6669999897421803e-07,-1.3000000080864993e-06,21.699951171875,0.26667000000000485
12.93736,77.5417483333,774.1,0.5739153,2.6,148.29,1727327341000,0,1.4000000003733248e-06,1.9633300013310873e-05,-21.099951171874977,-10.266670000000005
12.937359,77.5417456,795.199951171875,0.57756543,3.1,148.23198,1727327341002,0,-9.999999992515995e-07,-2.733300007662365e-06,21.099951171874977,-0.05801999999999907
12.9373583333,77.5417633333,774.6,0.52398723,2.5,118.09,1727327342000,0,-6.667000000959433e-07,1.7733299998212715e-05,-20.599951171874977,-30.14197999999999
12.9373578,77.5417611,795.199951171875,0.52408975,2.816,119.06598,1727327342002,0,-5.333000014928757e-07,-2.2332999947138887e-06,20.599951171874977,0.9759799999999927
12.9373566667,77.54177,775.0,0.42824888,2.5,146.9,1727327343000,0,-1.13329999962275e-06,8.899999997424857e-06,-20.199951171875,27.83402000000001
12.9373563,77.5417685,795.199951171875,0.45273483,2.683,130.71533,1727327343003,0,-3.667000001428278e-07,-1.499999996212864e-06,20.199951171875,-16.18467000000001
12.937345,77.5417766667,775.4,0.8652481,2.4,128.15,1727327344000,0,-1.1299999998826138e-05,8.166699998923832e-06,-19.799951171875023,-2.565329999999989
12.9373471,77.5417756,795.199951171875,0.6160843,2.583,131.29782,1727327344003,0,2.099999999671809e-06,-1.066700008323096e-06,19.799951171875023,3.147819999999996
12.937335,77.541785,775.7,1.0371653,2.4,110.22,1727327345000,0,-1.2100000001069589e-05,9.400000010373333e-06,-19.499951171874955,-21.077820000000003
12.9373373,77.5417839,795.199951171875,0.7336195,2.516,124.16401,1727327345003,0,2.3000000002326715e-06,-1.1000000057492798e-06,19.499951171874955,13.944010000000006
12.9373283333,77.5417983333,775.8000000000001,1.5210042,2.3,106.61,1727327346000,0,-8.966699999390926e-06,1.443329999517573e-05,-19.399951171874932,-17.554010000000005
12.9373297,77.5417964,795.199951171875,0.9419151,2.45,117.06768,1727327346003,0,1.3666999993944273e-06,-1.933299998313487e-06,19.399951171874932,10.457679999999996
12.9373116667,77.54182,776.0,2.045506,2.2,117.08,1727327347000,0,-1.8033299999942187e-05,2.360000000578566e-05,-19.199951171875,0.012320000000002551
12.9373151,77.5418165,796.2999877929688,1.3938152,2.383,118.508255,1727327347003,0,3.4332999998554214e-06,-3.500000005374204e-06,20.29998779296875,1.4282550000000072
12.937295,77.54185,776.3000000000001,2.546331,2.1,106.63,1727327348000,0,-2.00999999986351e-05,3.350000000068576e-05,-19.999987792968682,-11.87825500000001
12.9372988,77.541845,796.2999877929688,1.853178,2.316,112.4608,1727327348003,0,3.7999999999982492e-06,-5.000000001587068e-06,19.999987792968682,5.830800000000011
12.93728,77.5418816667,776.4,2.670379,2.1,107.9,1727327349000,0,-1.880000000120674e-05,3.666669999802252e-05,-19.899987792968773,-4.5608
12.9372834,77.5418767,796.2999877929688,2.222027,2.25,110.03908,1727327349003,0,3.4000000006528808e-06,-4.96669998995003e-06,19.899987792968773,2.1390799999999928
12.9372616667,77.5419116667,776.1,1.5251219,2.1,107.41,1727327350000,0,-2.1733300000548184e-05,3.496669999947244e-05,-20.199987792968727,-2.629080000000002
12.9372662,77.5419069,796.2999877929688,1.9471655,2.2,105.84826,1727327350003,0,4.533300000275631e-06,-4.766700001823665e-06,20.199987792968727,-1.5617400000000004
12.9372483333,77.5419433333,775.9,1.8318964,2.2,110.81,1727327351000,0,-1.7866700000368496e-05,3.643329999647449e-05,-20.399987792968773,4.961740000000006
12.9372519,77.541938,796.2999877929688,1.9602357,2.166,107.46109,1727327351003,0,3.566700000234846e-06,-5.333299995413654e-06,20.399987792968773,-3.3489100000000036
12.9372333333,77.5419783333,775.6,2.1721277,2.4,114.12,1727327352000,0,-1.856669999966698e-05,4.033329999231228e-05,-20.699987792968727,6.658910000000006
12.9372368,77.5419721,796.2999877929688,2.0952902,2.183,110.49625,1727327352003,0,3.466700000842593e-06,-6.233299998825714e-06,20.699987792968727,-3.623750000000001
12.9372133333,77.5420183333,775.5,2.542213,2.5,115.45,1727327353000,0,-2.346670000008544e-05,4.623330001152226e-05,-20.79998779296875,4.953749999999999
12.9372177,77.5420109,796.2999877929688,2.336962,2.233,113.19391,1727327353003,0,4.366699998925583e-06,-7.433300012849031e-06,20.79998779296875,-2.2560900000000004
12.9371966667,77.5420616667,775.3000000000001,2.9004598,2.6,111.35,1727327354000,0,-2.1033299999473343e-05,5.076669999937167e-05,-20.999987792968682,-1.8439100000000082
12.9372001,77.5420537,796.2999877929688,2.5807781,2.316,112.55208,1727327354003,0,3.4332999998554214e-06,-7.966699996586613e-06,20.999987792968682,1.2020800000000094
12.9371783333,77.5421116667,775.3000000000001,3.2967958,2.7,111.12,1727327355000,0,-2.1766699999758998e-05,5.796669999824644e-05,-20.999987792968682,-1.4320799999999991
12.9371817,77.5421025,796.2999877929688,2.929511,2.416,112.1105,1727327355003,0,3.3666999996739833e-06,-9.166699996399075e-06,20.999987792968682,0.9904999999999973
12.937165,77.5421633333,775.3000000000001,3.6313653,2.8,109.54,1727327356000,0,-1.6699999999758575e-05,6.083329999739817e-05,-20.999987792968682,-2.5704999999999956
12.9371668,77.5421541,796.2999877929688,3.2512736,2.533,110.650635,1727327356003,0,1.7999999997186933e-06,-9.233299991251442e-06,20.999987792968682,1.1106349999999878
12.9371483333,77.5422133333,775.5,3.9129183,2.8,110.16,1727327357000,0,-1.8466700000274727e-05,5.923329999291127e-05,-20.79998779296875,-0.4906349999999975
12.9371504,77.5422054,796.2999877929688,3.605186,2.633,110.40447,1727327357003,0,2.066700000469268e-06,-7.933299997375798e-06,20.79998779296875,0.24447000000000685
12.937135,77.542265,775.5,4.1661615,2.7,111.55,1727327358000,0,-1.540000000055386e-05,5.9600000000159525e-05,-20.79998779296875,1.1455299999999937
