UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
,65,0,2,126,1575420030,0.00,230.0,69.0,0,0,0,0.0
,65,1,1,32,1575420030,22.50,325.0,56.0,1,0,0,22.5
,65,2,1,28,1575420030,26.30,180.0,50.0,1,0,0,26.3
,65,3,1,18,1575420030,25.50,137.0,39.0,1,0,0,25.5
,65,4,1,10,1575420030,0.00,3.0,37.0,0,0,0,0.0
,65,5,1,23,1575420030,0.00,52.0,33.0,0,0,0,0.0
,65,6,1,27,1575420030,0.00,265.0,29.0,0,0,0,0.0
,65,7,1,31,1575420030,19.00,201.0,17.0,1,0,0,19.0
,65,8,1,8,1575420030,0.00,293.0,12.0,0,0,0,0.0
,65,9,1,25,1575420030,17.30,119.0,10.0,1,0,0,17.3
,65,10,1,24,1575420030,0.00,40.0,6.0,0,0,0,0.0
,65,11,1,26,1575420030,0.00,200.0,5.0,0,0,0,0.0
,65,12,3,17,1602000000,25.80,295.0,70.0,1,0,0,25.8
,65,13,3,24,1602000000,22.10,171.0,44.0,1,0,0,22.1
,65,14,3,3,1602000000,0.00,305.0,30.0,0,0,0,0.0
,65,15,3,2,1602000000,0.00,5.0,25.0,0,0,0,0.0
,65,16,3,18,1602000000,0.00,330.0,24.0,0,0,0,0.0
,65,17,3,13,1602000000,0.00,134.0,22.0,0,0,0,0.0
,65,18,3,12,1602000000,0.00,85.0,19.0,0,0,0,0.0
,65,19,3,4,1602000000,0.00,261.0,7.0,0,0,0,0.0
,65,20,3,14,1602000000,0.00,185.0,1.0,0,0,0,0.0
,65,21,6,12,1575420030,0.00,56.0,80.0,0,0,0,0.0
,65,22,6,10,1575420030,32.20,344.0,62.0,1,0,0,32.2
,65,23,6,4,1575420030,0.00,322.0,60.0,0,0,0,0.0
,65,24,6,6,1575420030,0.00,274.0,51.0,0,0,0,0.0
,65,25,6,11,1575420030,0.00,331.0,34.0,0,0,0,0.0
,65,26,6,9,1575420030,0.00,252.0,33.0,0,0,0,0.0
,65,27,6,33,1575420030,0.00,136.0,31.0,0,0,0,0.0
,65,28,6,19,1575420030,0.00,30.0,22.0,0,0,0,0.0
,65,29,6,31,1575420030,0.00,176.0,11.0,0,0,0,0.0
,65,30,5,60,1561097980,33.10,168.0,77.0,1,0,0,33.1
,65,31,5,2,1561097980,27.60,147.0,76.0,1,0,0,27.6
,65,32,5,9,1561097980,0.00,114.0,71.0,0,0,0,0.0
,65,33,5,6,1561097980,0.00,80.0,67.0,0,0,0,0.0
,65,34,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
,65,35,5,16,1561097980,19.80,65.0,60.0,1,0,0,19.8
,65,36,5,39,1561097980,0.00,52.0,55.0,0,0,0,0.0
,65,37,5,3,1561097980,0.00,107.0,50.0,0,0,0,0.0
,65,38,5,28,1561097980,0.00,291.0,49.0,0,0,0,0.0
,65,39,5,61,1561097980,0.00,108.0,49.0,0,0,0,0.0
,65,40,5,43,1561097980,29.30,183.0,46.0,1,0,0,29.3
,65,41,5,13,1561097980,0.00,41.0,43.0,0,0,0,0.0
,65,42,5,56,1561097980,0.00,137.0,43.0,0,0,0,0.0
,65,43,5,33,1561097980,0.00,1.0,37.0,0,0,0,0.0
,65,44,5,8,1561097980,0.00,59.0,36.0,0,0,0,0.0
,65,45,5,25,1561097980,29.20,152.0,35.0,1,0,0,29.2
,65,46,5,38,1561097980,0.00,76.0,33.0,0,0,0,0.0
,65,47,5,11,1561097980,0.00,165.0,29.0,0,0,0,0.0
,65,48,5,24,1561097980,0.00,89.0,29.0,0,0,0,0.0
,65,49,5,14,1561097980,0.00,30.0,27.0,0,0,0,0.0
,65,50,5,41,1561097980,0.00,301.0,27.0,0,0,0,0.0
,65,51,5,10,1561097980,0.00,169.0,20.0,0,0,0,0.0
,65,52,5,59,1561097980,0.00,94.0,18.0,0,0,0,0.0
,65,53,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
,65,54,5,7,1561097980,0.00,157.0,13.0,0,0,0,0.0
,65,55,5,42,1561097980,0.00,52.0,11.0,0,0,0,0.0
,65,56,5,27,1561097980,0.00,318.0,10.0,0,0,0,0.0
,65,57,5,23,1561097980,0.00,197.0,7.0,0,0,0,0.0
,65,58,5,34,1561097980,0.00,156.0,7.0,0,0,0,0.0
,65,59,5,57,1561097980,0.00,128.0,3.0,0,0,0,0.0
,65,60,5,40,1561097980,0.00,154.0,2.0,0,0,0,0.0
,65,61,4,196,1575420030,0.00,57.0,36.0,0,0,0,0.0
,65,62,4,199,1575420030,0.00,44.0,28.0,0,0,0,0.0
,65,63,4,195,1575420030,20.00,131.0,19.0,1,0,0,20.0
,65,64,4,194,1575420030,0.00,106.0,1.0,0,0,0,0.0
1727327335000,65,0,2,126,1575420030,0.00,230.0,69.0,0,0,0,0.0
1727327335000,65,1,1,32,1575420030,22.40,325.0,56.0,1,0,0,22.4
1727327335000,65,2,1,28,1575420030,29.50,180.0,50.0,1,0,0,29.5
1727327335000,65,3,1,18,1575420030,25.70,137.0,39.0,1,0,0,25.7
1727327335000,65,4,1,10,1575420030,0.00,3.0,37.0,0,0,0,0.0
1727327335000,65,5,1,23,1575420030,0.00,52.0,33.0,0,0,0,0.0
1727327335000,65,6,1,27,1575420030,0.00,265.0,29.0,0,0,0,0.0
1727327335000,65,7,1,31,1575420030,19.00,201.0,17.0,1,0,0,19.0
1727327335000,65,8,1,8,1575420030,0.00,293.0,12.0,0,0,0,0.0
1727327335000,65,9,1,25,1575420030,19.20,119.0,10.0,1,0,0,19.2
1727327335000,65,10,1,24,1575420030,0.00,40.0,6.0,0,0,0,0.0
1727327335000,65,11,1,26,1575420030,0.00,200.0,5.0,0,0,0,0.0
1727327335000,65,12,3,17,1602000000,24.30,295.0,70.0,1,0,0,24.3
1727327335000,65,13,3,24,1602000000,24.80,171.0,44.0,1,0,0,24.8
1727327335000,65,14,3,3,1602000000,0.00,305.0,30.0,0,0,0,0.0
1727327335000,65,15,3,2,1602000000,0.00,5.0,25.0,0,0,0,0.0
1727327335000,65,16,3,18,1602000000,0.00,330.0,24.0,0,0,0,0.0
1727327335000,65,17,3,13,1602000000,0.00,134.0,22.0,0,0,0,0.0
1727327335000,65,18,3,12,1602000000,0.00,85.0,19.0,0,0,0,0.0
1727327335000,65,19,3,4,1602000000,0.00,261.0,7.0,0,0,0,0.0
1727327335000,65,20,3,14,1602000000,0.00,185.0,1.0,0,0,0,0.0
1727327335000,65,21,6,12,1575420030,0.00,56.0,80.0,0,0,0,0.0
1727327335000,65,22,6,10,1575420030,32.60,344.0,62.0,1,0,0,32.6
1727327335000,65,23,6,4,1575420030,0.00,322.0,60.0,0,0,0,0.0
1727327335000,65,24,6,6,1575420030,0.00,274.0,51.0,0,0,0,0.0
1727327335000,65,25,6,11,1575420030,0.00,331.0,34.0,0,0,0,0.0
1727327335000,65,26,6,9,1575420030,0.00,252.0,33.0,0,0,0,0.0
1727327335000,65,27,6,33,1575420030,0.00,136.0,31.0,0,0,0,0.0
1727327335000,65,28,6,19,1575420030,0.00,30.0,22.0,0,0,0,0.0
1727327335000,65,29,6,31,1575420030,0.00,176.0,11.0,0,0,0,0.0
1727327335000,65,30,5,60,1561097980,33.10,168.0,77.0,1,0,0,33.1
1727327335000,65,31,5,2,1561097980,26.90,147.0,76.0,1,0,0,26.9
1727327335000,65,32,5,9,1561097980,0.00,114.0,71.0,0,0,0,0.0
1727327335000,65,33,5,6,1561097980,0.00,80.0,67.0,0,0,0,0.0
