UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
,67,0,2,126,1575420030,0.00,230.0,69.0,0,0,0,0.0
,67,1,2,127,1575420030,0.00,242.0,60.0,0,0,0,0.0
,67,2,1,32,1575420030,31.30,312.0,59.0,1,0,0,31.3
,67,3,1,18,1575420030,23.80,130.0,45.0,1,0,0,23.8
,67,4,1,28,1575420030,37.70,182.0,43.0,1,0,0,37.7
,67,5,1,10,1575420030,30.40,355.0,35.0,1,0,0,30.4
,67,6,1,23,1575420030,22.30,43.0,33.0,1,0,0,22.3
,67,7,1,27,1575420030,23.60,273.0,30.0,1,0,0,23.6
,67,8,2,128,1575420030,0.00,0.0,14.0,0,0,0,0.0
,67,9,1,24,1575420030,0.00,43.0,11.0,0,0,0,0.0
,67,10,1,31,1575420030,0.00,202.0,11.0,0,0,0,0.0
,67,11,1,8,1575420030,15.30,300.0,10.0,1,0,0,15.3
,67,12,1,25,1575420030,0.00,126.0,8.0,0,0,0,0.0
,67,13,1,26,1575420030,0.00,206.0,3.0,0,0,0,0.0
,67,14,3,17,1602000000,28.70,316.0,64.0,1,0,0,28.7
,67,15,3,24,1602000000,24.60,169.0,53.0,1,0,0,24.6
,67,16,3,3,1602000000,24.00,295.0,31.0,1,0,0,24.0
,67,17,3,2,1602000000,17.70,357.0,29.0,1,0,0,17.7
,67,18,3,13,1602000000,0.00,141.0,18.0,0,0,0,0.0
,67,19,3,12,1602000000,19.50,94.0,17.0,1,0,0,19.5
,67,20,3,18,1602000000,13.20,333.0,17.0,1,0,0,13.2
,67,21,3,4,1602000000,0.00,253.0,5.0,0,0,0,0.0
,67,22,3,1,1602000000,0.00,38.0,3.0,0,0,0,0.0
,67,23,6,12,1575420030,22.90,32.0,75.0,1,0,0,22.9
,67,24,6,4,1575420030,27.40,311.0,63.0,1,0,0,27.4
,67,25,6,10,1575420030,29.50,344.0,56.0,1,0,0,29.5
,67,26,6,6,1575420030,28.70,264.0,50.0,1,0,0,28.7
,67,27,6,33,1575420030,0.00,131.0,36.0,0,0,0,0.0
