utcTimeMillis,Svid,Cn0DbHz,PseudorangeRateMetersPerSecond,AccumulatedDeltaRangeUncertaintyMeters,AccumulatedDeltaRangeState,CarrierFrequencyHz,SnrInDb,BasebandCn0DbHz,CodeType,State,DriftNanosPerSecond,HardwareClockDiscontinuityCount,Pseudorange,MockLocation_approx
1727331213372,10,21.586000442504883,-1432.1645835895192,0.0099999997764825,16,1575420030,0.0,21.586000442504883,C,47,-4214.628048894397,0,-4.2322721592722995e+17,1
1727331213372,31,17.54800033569336,-1809.7578700951449,0.0099999997764825,16,1575420030,0.0,17.54800033569336,C,47,-4214.628048894397,0,-4.23227215927376e+17,1
1727331213372,18,0.0,-1440.831308138815,0.0049000000581145,16,1600312450,3.991447098104082,23.0,C,17,-4214.628048894397,0,-4.2311688291948224e+17,1
1727331213372,23,22.915000915527344,-1111.0411303204737,0.0049000000581145,16,1575420030,2.012123171360403,22.915000915527344,C,47,-4214.628048894397,0,-4.2322721592624666e+17,1
1727331213372,60,27.0,-1258.53515625,0.00089999998454,16,1561097980,8.487382382249763,27.0,I,47,-4214.628048894397,0,-4.232272117159027e+17,1
1727331213372,25,27.5,-1467.9385986328125,0.00089999998454,16,1561097980,9.075956522740771,27.5,I,47,-4214.628048894397,0,-4.232272117294992e+17,1
1727331215000,32,25.416000366210938,-1005.9536795215546,0.0020250000525265,17,1575420030,5.606010216104743,25.416000366210938,C,47,-4244.447175430811,0,-4.232272159265384e+17,1
1727331215000,28,26.62800025939941,-1345.314755741377,0.0020250000525265,20,1575420030,7.253737934561467,26.62800025939941,C,47,-4244.447175430811,0,-4.232272159285913e+17,1
1727331215000,27,27.5,-1469.9412841796875,0.00089999998454,16,1561097980,9.06577291426054,27.5,I,47,-4244.447175430811,0,-4.232272117272951e+17,1
1727331215000,10,20.770999908447266,-1441.4559880811296,0.0099999997764825,16,1575420030,0.0,20.770999908447266,C,47,-4244.447175430811,0,-4.2322721592723226e+17,1
1727331215000,31,16.323999404907227,-1817.8947829439232,0.0225000008940696,16,1575420030,0.0,16.323999404907227,C,47,-4244.447175430811,0,-4.2322721592737894e+17,1
1727331215000,18,0.0,-1449.898149338616,0.0099999997764825,17,1600312450,5.811291239716324,20.0,C,17,-4244.447175430811,0,-4.231168824311226e+17,1
1727331215000,23,22.572999954223636,-1119.5085483421738,0.0099999997764825,16,1575420030,1.4226558589593938,22.572999954223636,C,47,-4244.447175430811,0,-4.2322721592624845e+17,1
1727331215000,60,28.299999237060547,-1265.232666015625,0.0006249999860301,16,1561097980,10.030133201443874,28.299999237060547,I,47,-4244.447175430811,0,-4.2322721171590483e+17,1
1727331215000,25,25.700000762939453,-1478.136962890625,0.0020250000525265,16,1561097980,6.976503448626737,25.700000762939453,I,47,-4244.447175430811,0,-4.232272117295016e+17,1
1727331216000,32,26.67300033569336,-1016.3704926874492,0.0020250000525265,17,1575420030,7.317371110285251,26.67300033569336,C,47,-4279.572470008156,0,-4.232272159265394e+17,1
1727331216000,28,30.7450008392334,-1356.0626315811876,0.0006249999860301,17,1575420030,12.436898832350431,30.7450008392334,C,47,-4279.572470008156,0,-4.2322721592859264e+17,1
1727331216000,27,25.700000762939453,-1479.796630859375,0.0020250000525265,16,1561097980,6.937899431133989,25.700000762939453,I,47,-4279.572470008156,0,-4.2322721172729664e+17,1
1727331216000,10,21.18899917602539,-1451.5028064203234,0.0099999997764825,16,1575420030,0.0,21.18899917602539,C,47,-4279.572470008156,0,-4.2322721592723366e+17,1
1727331216000,18,0.0,-1460.2384572076091,0.0020250000525265,20,1600312450,3.728641847878001,24.0,C,17,-4279.572470008156,0,-4.2311688213133165e+17,1
1727331216000,23,23.145000457763672,-1129.963457409361,0.0099999997764825,16,1575420030,2.312774270606754,23.145000457763672,C,47,-4279.572470008156,0,-4.2322721592624954e+17,1
1727331216000,60,29.700000762939453,-1276.6239013671875,0.0006249999860301,16,1561097980,11.679006661193728,29.700000762939453,I,47,-4279.572470008156,0,-4.2322721171590605e+17,1
